id,0
180, cnn putin avoid russia blame game ukrain attack via googlenew
193, putin avoid russia blame game ukrain attack
196, putin avoid russia blame game ukrain attack
254, putin avoid russia blame game ukrain attack
258, cnn putin avoid russia blame game ukrain attack via googlenew
265, putin avoid russia blame game ukrain attack
290, putin avoid russia blame game ukrain attack
294, putin avoid russia blame game afterukrain attack
303, putin avoid russia blame game ukrain attack
304, cnn putin avoid russia blame game ukrain attack usa bigger humili lebanon marin kill truck bomb attack sleep quarter usa assist ukrainian via googlenew
329, putin avoid russia blame game ukrain attack
335, putin avoid russia blame game ukrain attack cnn
337, putin avoid russia blame game ukrain attack
342, putin avoid russia blame game ukrain attack
350, putin avoid russia blame game ukrain attack
353, putin avoid russia blame game ukrain attack
375, putin avoid russia blame game ukrain attack
378, putin avoid russia blame game ukrain attack
389, putin avoid russia blame game ukrain attack cnn
